StartDate,Ingestor,IngestionDate,IngestionComment,1stAuditor,1stAuditDate,1stAuditComment,2ndAuditor,2ndAuditDate,2ndAuditComment
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
2018-03-12 14:16:58,jdandan,2018-03-12 10:16:00,,lamhelen,2018-03-12 10:16:00,,,2018-03-12 10:16:00,
