month,proc_Ind_cmp,proc_Ind_run,proc_Rng_cmp,proc_Rng_run,proc_Ser_cmp,proc_Ser_run,proc_Bat_cmp,proc_Bat_run,proc_IndMod_cmp,proc_IndMod_run,proc_NoBO,proc_Parser_cmp,proc_Parser_run,proc_Ind_cmp_bad,proc_Ind_run_bad,proc_Rng_cmp_bad,proc_Rng_run_bad,proc_Ser_cmp_bad,proc_Ser_run_bad,proc_Bat_cmp_bad,proc_Bat_run_bad,proc_IndMod_cmp_bad,proc_IndMod_run_bad,proc_NoBO_bad,proc_Parser_cmp_bad,proc_Parser_run_bad,sum_proc,sum_proc_bad,sum_BO_Parser,acc_proc,pa1_Ind_cmp,pa1_Ind_run,pa1_Rng_cmp,pa1_Rng_run,pa1_Ser_cmp,pa1_Ser_run,pa1_Bat_cmp,pa1_Bat_run,pa1_IndMod_cmp,pa1_IndMod_run,pa1_NoBO,pa1_Parser_cmp,pa1_Parser_run,pa1_Ind_cmp_bad,pa1_Ind_run_bad,pa1_Rng_cmp_bad,pa1_Rng_run_bad,pa1_Ser_cmp_bad,pa1_Ser_run_bad,pa1_Bat_cmp_bad,pa1_Bat_run_bad,pa1_IndMod_cmp_bad,pa1_IndMod_run_bad,sum_pa1,sum_pa1_bad,acc_pa1,pa2_Ind_cmp,pa2_Ind_run,pa2_Rng_cmp,pa2_Rng_run,pa2_Bat_cmp,pa2_Bat_run,sum_pa2,ing_Ind_cmp,ing_Ind_run,ing_Rng_cmp,ing_Rng_run,ing_Ser_cmp,ing_Ser_run,ing_Bat_cmp,ing_Bat_run,ing_IndMod_cmp,ing_IndMod_run,ing_Parser_cmp,ing_Parser_run,ing_Parser_ing,ing_Ind_cmp_bad,ing_Ind_run_bad,ing_Rng_cmp_bad,ing_Rng_run_bad,ing_Ser_cmp_bad,ing_Ser_run_bad,ing_Bat_cmp_bad,ing_Bat_run_bad,ing_IndMod_cmp_bad,ing_IndMod_run_bad,ing_Parser_cmp_bad,ing_Parser_run_bad,ing_Parser_ing_bad,sum_ing,sum_ing_bad,acc_ing,ia1_Ind_cmp,ia1_Ind_run,ia1_Rng_cmp,ia1_Rng_run,ia1_Ser_cmp,ia1_Ser_run,ia1_Bat_cmp,ia1_Bat_run,ia1_IndMod_cmp,ia1_IndMod_run,ia1_Parser_cmp,ia1_Parser_run,ia1_Parser_ing,ia1_Ind_cmp_bad,ia1_Ind_run_bad,ia1_Parser_ing_bad,sum_ia1,sum_ia1_bad,acc_ia1,ia2_Ind_cmp,ia2_Ind_run,ia2_Parser_ing,sum_ia2,aps_Stack_cmp,aps_Stack_run,sum_aps,sum_mail,sum_BO,sum_task,sum_task_bad,acc_overall,acc_final
2017-12-01 00:00:00,1349,0,0,0,179,14,11,0,25,0,36,0,0,277,0,0,0,99,3,1,0,0,0,0,0,0,1614,380,0,0.764560099133,438,0,0,0,179,14,11,0,25,0,36,0,0,53,0,0,0,0,0,0,0,0,0,703,53,0.924608819346,368,0,0,0,11,0,379,356,0,0,0,179,14,11,0,27,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,587,2,0.996592844974,350,0,0,0,179,14,11,0,27,0,0,0,0,22,0,0,581,22,0.962134251291,332,0,0,332,104,23,127,0,1614,4323,457,0.894286375202,0.959933222037
2018-01-01 00:00:00,1461,0,0,28,130,47,0,0,93,0,43,0,0,139,0,0,1,5,2,0,0,0,0,0,0,0,1802,147,0,0.918423973363,2328,0,0,28,130,47,0,0,93,0,43,0,0,162,0,0,0,0,0,0,0,0,0,2669,162,0.939303109779,2328,0,0,28,0,0,2356,1608,0,0,16,130,47,0,0,92,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,1894,5,0.997360084477,1613,0,0,16,130,47,0,0,92,0,0,0,0,65,0,0,1898,65,0.965753424658,1594,0,25,1619,209,47,256,0,1802,12494,379,0.969665439411,0.964047252183
2018-02-01 00:00:00,1200,0,0,5,8,2,0,0,42,0,4,6,0,387,0,0,0,0,0,0,0,0,0,0,0,0,1267,387,606,0.69455406472,1237,0,0,5,8,2,0,0,42,0,4,6,0,100,0,0,0,0,0,0,0,0,0,1304,100,0.923312883436,1241,0,0,5,0,0,1246,1213,0,0,65,8,2,0,0,42,0,6,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,1337,5,0.996260284218,1207,0,0,65,8,2,0,0,42,0,6,0,0,10,0,0,1330,10,0.992481203008,1221,0,0,1221,54,18,72,0,1867,7777,502,0.935450687926,0.988822652757
2018-03-01 00:00:00,905,0,0,4,5,6,0,0,175,0,50,9,0,128,0,0,1,0,0,0,0,1,0,0,0,0,1154,130,729,0.887348353553,912,0,0,4,5,6,0,0,175,0,50,9,0,33,0,0,0,0,0,0,0,0,0,1161,33,0.97157622739,978,0,0,4,0,0,982,1548,0,0,69,5,6,0,0,174,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1811,5,0.997239094423,1554,0,0,69,5,6,0,0,174,0,9,0,0,4,0,0,1817,4,0.99779856907,1572,0,0,1572,400,31,431,0,1874,8928,172,0.980734767025,0.995202558635
2018-04-01 00:00:00,1054,0,0,3,31,0,0,0,193,0,1,7,0,80,0,0,0,18,0,0,0,1,0,0,0,0,1289,99,533,0.923196276183,1053,0,0,3,31,0,0,0,193,0,1,7,0,21,0,0,0,0,0,0,0,0,0,1288,21,0.983695652174,1044,0,0,3,0,0,1047,997,0,0,76,31,0,0,0,194,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1305,2,0.99846743295,987,0,0,76,31,0,0,0,194,0,7,0,0,12,0,0,1295,12,0.990733590734,963,0,0,963,215,21,236,0,1815,7423,134,0.981947999461,0.988932806324
2018-05-01 00:00:00,1152,0,0,4,0,0,0,0,139,0,3,8,0,88,0,0,1,0,0,0,0,0,0,0,0,0,1306,89,523,0.931852986217,1153,0,0,4,0,0,0,0,139,0,3,8,0,40,0,0,0,0,0,0,0,0,0,1307,40,0.969395562357,1162,0,0,4,0,0,1166,852,0,0,74,0,0,0,0,142,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1076,4,0.996282527881,855,0,0,74,0,0,0,0,142,0,8,0,2,24,0,0,1081,24,0.977798334875,876,0,0,876,204,21,225,0,1821,7037,157,0.97768935626,0.974429223744
2018-06-01 00:00:00,654,21,0,2,13,0,0,0,193,0,9,10,1,41,2,0,0,2,0,0,0,3,0,0,0,0,903,48,752,0.946843853821,654,21,0,2,13,0,0,0,193,0,9,10,1,15,4,0,0,0,0,0,0,0,0,903,19,0.978959025471,654,21,0,2,0,0,677,993,21,0,85,13,0,0,0,189,0,10,1,527,0,0,0,4,0,0,0,0,0,0,0,0,0,1839,4,0.99782490484,999,0,0,85,13,0,0,0,189,0,10,1,558,11,0,0,1855,11,0.994070080863,1004,0,46,1050,213,19,232,0,1644,7459,82,0.989006569245,0.988855869242
2018-07-01 00:00:00,632,0,0,6,0,1,0,0,70,0,20,9,1,30,0,0,1,0,0,0,0,0,0,0,0,0,739,31,594,0.958051420839,632,0,0,6,0,1,0,0,70,0,20,9,1,4,0,0,0,0,0,0,0,0,0,739,4,0.994587280108,632,0,0,6,0,0,638,575,0,0,152,0,1,0,0,70,0,9,1,570,0,0,0,6,0,0,0,0,1,0,0,0,0,1378,7,0.994920174165,575,0,0,152,0,1,0,0,70,0,9,1,561,2,0,0,1369,2,0.99853907962,577,0,558,1135,202,24,226,0,1323,6224,44,0.99293059126,0.993468795356
2018-08-01 00:00:00,854,1,12,0,0,3,0,0,63,0,2,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,945,30,605,0.968253968254,854,1,12,0,0,3,0,0,63,0,2,0,10,19,0,0,0,0,0,0,0,0,0,945,19,0.979894179894,853,1,12,0,0,0,866,805,0,0,218,0,3,0,0,63,0,0,10,585,0,0,0,8,0,0,0,0,1,0,0,0,0,1684,9,0.994655581948,807,0,0,218,0,3,0,0,63,0,0,10,590,8,0,0,1691,8,0.995269071555,807,0,561,1368,227,35,262,0,1540,7761,66,0.991495941245,0.989721886336
2018-09-01 00:00:00,653,1,58,3,2,1,0,0,70,0,130,1,14,61,0,6,0,0,0,0,0,0,0,0,0,0,933,67,655,0.9281886388,649,1,58,3,2,1,0,0,70,0,130,1,14,11,0,0,0,0,0,0,0,0,0,929,11,0.988159311087,641,1,58,3,0,0,703,667,0,43,184,2,1,0,0,70,0,1,14,596,0,0,0,8,0,0,0,0,0,0,0,0,0,1578,8,0.994930291508,667,0,43,184,2,1,0,0,70,0,1,14,585,0,0,0,1567,0,1.0,656,0,419,1075,338,36,374,0,1573,7159,86,0.987987149043,0.994684385382
