month,proc_Ind_cmp,proc_Ind_run,proc_Rng_cmp,proc_Rng_run,proc_Ser_cmp,proc_Ser_run,proc_Bat_cmp,proc_Bat_run,proc_IndMod_cmp,proc_IndMod_run,proc_NoBO,proc_Parser_cmp,proc_Parser_run,proc_Ind_cmp_bad,proc_Ind_run_bad,proc_Rng_cmp_bad,proc_Rng_run_bad,proc_Ser_cmp_bad,proc_Ser_run_bad,proc_Bat_cmp_bad,proc_Bat_run_bad,proc_IndMod_cmp_bad,proc_IndMod_run_bad,proc_NoBO_bad,proc_Parser_cmp_bad,proc_Parser_run_bad,sum_proc,sum_proc_bad,sum_BO_Parser,acc_proc,pa1_Ind_cmp,pa1_Ind_run,pa1_Rng_cmp,pa1_Rng_run,pa1_Ser_cmp,pa1_Ser_run,pa1_Bat_cmp,pa1_Bat_run,pa1_IndMod_cmp,pa1_IndMod_run,pa1_NoBO,pa1_Parser_cmp,pa1_Parser_run,pa1_Ind_cmp_bad,pa1_Ind_run_bad,pa1_Rng_cmp_bad,pa1_Rng_run_bad,pa1_Ser_cmp_bad,pa1_Ser_run_bad,pa1_Bat_cmp_bad,pa1_Bat_run_bad,pa1_IndMod_cmp_bad,pa1_IndMod_run_bad,sum_pa1,sum_pa1_bad,acc_pa1,pa2_Ind_cmp,pa2_Ind_run,pa2_Rng_cmp,pa2_Rng_run,pa2_Bat_cmp,pa2_Bat_run,sum_pa2,ing_Ind_cmp,ing_Ind_run,ing_Rng_cmp,ing_Rng_run,ing_Ser_cmp,ing_Ser_run,ing_Bat_cmp,ing_Bat_run,ing_IndMod_cmp,ing_IndMod_run,ing_Parser_cmp,ing_Parser_run,ing_Parser_ing,ing_Ind_cmp_bad,ing_Ind_run_bad,ing_Rng_cmp_bad,ing_Rng_run_bad,ing_Ser_cmp_bad,ing_Ser_run_bad,ing_Bat_cmp_bad,ing_Bat_run_bad,ing_IndMod_cmp_bad,ing_IndMod_run_bad,ing_Parser_cmp_bad,ing_Parser_run_bad,ing_Parser_ing_bad,sum_ing,sum_ing_bad,acc_ing,ia1_Ind_cmp,ia1_Ind_run,ia1_Rng_cmp,ia1_Rng_run,ia1_Ser_cmp,ia1_Ser_run,ia1_Bat_cmp,ia1_Bat_run,ia1_IndMod_cmp,ia1_IndMod_run,ia1_Parser_cmp,ia1_Parser_run,ia1_Parser_ing,ia1_Ind_cmp_bad,ia1_Ind_run_bad,ia1_Parser_ing_bad,sum_ia1,sum_ia1_bad,acc_ia1,ia2_Ind_cmp,ia2_Ind_run,ia2_Parser_ing,sum_ia2,aps_Stack_cmp,aps_Stack_run,sum_aps,sum_mail,sum_BO,sum_task,sum_task_bad,acc_overall
2017-12-01 00:00:00,407,0,0,0,6,3,0,0,21,0,30,0,0,60,0,0,0,3,0,0,0,0,0,0,0,0,467,63,0,0.865096359743,727,0,3,0,0,0,11,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,741,44,0.940620782726,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1.0,0,0,0,0,87,4,91,0,467,1304,107,0.917944785276
2018-01-01 00:00:00,1219,0,106,1,13,0,0,0,63,0,39,0,0,103,0,4,0,2,0,0,0,0,0,0,0,0,1441,109,0,0.924358084663,1023,0,72,13,0,0,0,0,0,0,0,0,0,73,0,1,0,0,0,0,0,0,0,1108,74,0.93321299639,105,0,0,0,0,0,105,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,1,0.947368421053,0,0,0,19,26,0,0,0,0,0,0,0,0,0,0,0,45,0,1.0,0,0,0,0,151,11,162,0,1441,2880,184,0.936111111111
2018-02-01 00:00:00,778,0,110,1,6,0,0,0,32,0,2,6,0,319,0,19,0,0,0,0,0,0,0,0,0,0,935,338,606,0.638502673797,1129,0,115,2,0,0,0,0,0,0,0,6,0,93,0,1,0,0,0,0,0,0,0,1252,94,0.924920127796,536,0,19,0,0,0,555,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,1.0,0,0,0,74,5,0,0,0,0,0,0,0,0,0,0,0,79,0,1.0,0,0,0,0,44,9,53,0,1535,2948,432,0.853459972863
2018-03-01 00:00:00,767,0,144,2,1,1,0,0,167,0,49,9,0,103,0,14,2,0,0,0,0,1,0,0,0,0,1140,120,729,0.894736842105,847,0,144,5,3,0,0,0,62,0,0,9,0,31,0,3,0,0,0,0,0,0,0,1070,34,0.968224299065,874,0,150,5,0,0,1029,109,0,2,80,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,194,1,0.994845360825,12,0,2,80,1,0,0,0,0,0,0,0,0,0,0,0,95,0,1.0,2,0,0,2,340,18,358,0,1860,3888,155,0.960133744856
2018-04-01 00:00:00,942,0,126,7,28,0,0,0,187,0,0,7,0,58,0,6,0,15,0,0,0,1,0,0,0,0,1297,80,533,0.93831919815,962,0,126,7,31,0,0,0,180,0,0,7,0,5,0,2,0,0,0,0,0,0,0,1313,7,0.994668697639,1000,0,126,7,0,0,1133,4,0,1,103,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,108,3,0.972222222222,442,0,92,103,28,0,0,0,108,0,0,0,0,4,0,0,773,4,0.994825355757,0,0,0,0,205,19,224,0,1823,4848,94,0.980610561056
2018-05-01 00:00:00,939,0,133,5,0,0,0,0,125,0,3,8,0,82,0,8,1,0,0,0,0,0,0,0,0,0,1213,91,523,0.924979389942,1129,0,158,6,0,0,0,0,134,0,1,8,0,38,0,0,0,0,0,0,0,0,0,1436,38,0.973537604457,1137,0,159,6,0,0,1302,23,0,4,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,127,2,0.984251968504,703,0,327,100,0,0,0,0,103,0,0,0,2,24,0,0,1235,24,0.980566801619,508,0,0,508,191,15,206,0,1728,6027,155,0.974282395885
2018-06-01 00:00:00,642,21,129,4,1,0,0,0,190,0,9,7,3,41,2,9,1,1,0,0,0,3,0,0,0,0,1006,57,642,0.943339960239,641,21,130,4,2,0,0,0,192,0,2,7,3,15,4,1,0,0,0,0,0,0,0,1002,20,0.98003992016,637,21,130,4,0,0,792,64,0,71,122,0,0,0,0,36,0,0,0,174,0,0,3,1,0,0,0,0,0,0,0,0,0,467,4,0.991434689507,733,0,261,122,1,0,0,0,146,0,0,0,529,8,0,0,1792,8,0.995535714286,800,0,45,845,201,22,223,0,1638,6127,89,0.985474130896
2018-07-01 00:00:00,627,0,191,3,0,0,0,0,70,0,20,0,10,30,0,5,1,0,0,0,0,0,0,0,0,0,921,36,594,0.960912052117,632,0,191,4,0,0,0,0,69,0,19,0,10,4,0,1,0,0,0,0,0,0,0,925,5,0.994594594595,631,0,191,4,0,0,826,297,0,267,202,0,0,0,0,62,0,0,0,166,0,0,4,4,0,0,0,0,1,0,0,0,0,994,9,0.990945674044,481,0,388,202,0,0,0,0,69,0,0,0,519,2,0,0,1659,2,0.998794454491,526,0,511,1037,184,28,212,0,1505,6574,52,0.992090051719
2018-08-01 00:00:00,830,16,193,11,0,3,0,0,63,0,2,0,10,30,0,4,1,0,0,0,0,0,0,0,0,0,1128,35,605,0.968971631206,828,16,190,11,0,0,0,0,63,0,2,0,10,19,0,1,0,0,0,0,0,0,0,1120,20,0.982142857143,836,16,190,11,0,0,1053,652,0,483,298,0,0,0,0,62,0,0,0,506,0,0,0,5,0,0,0,0,1,0,0,0,0,2001,6,0.99700149925,772,0,511,298,0,0,0,0,63,0,0,0,293,6,0,0,1937,6,0.996902426433,798,0,559,1357,219,45,264,0,1723,8860,67,0.992437923251
2018-09-01 00:00:00,637,14,175,7,0,0,0,0,70,0,130,0,15,61,0,21,0,0,0,0,0,0,0,0,0,0,1048,82,655,0.921755725191,637,14,173,7,0,0,0,0,70,0,130,0,15,9,2,3,0,0,0,0,0,0,0,1046,14,0.986615678776,637,14,173,7,0,0,831,660,0,454,291,0,0,0,0,70,0,0,0,562,0,0,2,7,0,0,0,0,0,0,0,0,0,2037,9,0.99558173785,667,0,460,291,0,0,0,0,70,0,0,0,491,0,0,0,1979,0,1.0,667,0,535,1202,338,43,381,0,1688,8524,105,0.987681839512
